Epoch,Generator Loss,Discriminator Loss,Epoch Time (s)
1,0.7033648490905762,1.1626471281051636,45.606581926345825
2,0.8900085687637329,1.2064138650894165,41.40200924873352
3,1.133927583694458,1.018739104270935,42.0904061794281
4,0.9013510942459106,1.213153600692749,41.97543549537659
5,0.8706579804420471,1.2934703826904297,43.23424577713013
6,0.8871385455131531,1.2664505243301392,42.832268476486206
7,0.8387177586555481,1.3093496561050415,42.74917674064636
8,0.8569977283477783,1.256604552268982,43.48997354507446
9,0.8645942807197571,1.3055866956710815,43.05556869506836
10,0.9834153652191162,1.1786473989486694,43.70837116241455
11,0.917094349861145,1.232621431350708,43.190125942230225
12,0.9649931192398071,1.175120234489441,43.235044717788696
13,1.023615837097168,1.1473852396011353,43.1271390914917
14,1.0761300325393677,1.134881615638733,43.35654950141907
15,1.2005531787872314,1.0036500692367554,43.3313844203949
16,1.1873447895050049,1.0548664331436157,43.32884335517883
17,1.1685049533843994,1.0832757949829102,44.00010371208191
18,1.2199034690856934,1.0455591678619385,42.76270508766174
19,1.095403790473938,1.1514631509780884,43.040077686309814
20,1.1316889524459839,1.0886003971099854,44.32132077217102
21,1.1232333183288574,1.09056556224823,42.89631986618042
22,1.196326494216919,1.0348035097122192,43.27365183830261
23,1.3072776794433594,1.0059176683425903,43.12388634681702
24,1.370816707611084,0.9196472764015198,42.910866498947144
25,1.4036846160888672,0.9250473976135254,43.27759027481079
26,1.3527542352676392,0.9746462106704712,42.23670315742493
27,1.2834023237228394,1.0419899225234985,42.48351192474365
28,1.2900563478469849,1.016088843345642,42.79422116279602
29,1.3232003450393677,1.00626540184021,43.218833446502686
30,1.2071579694747925,1.098332166671753,44.71671271324158
31,1.2026644945144653,1.0827434062957764,44.53455591201782
32,1.143688678741455,1.1485670804977417,44.755971908569336
33,1.0958737134933472,1.1578491926193237,44.11174440383911
34,1.0631418228149414,1.1657851934432983,43.56482172012329
35,1.0327894687652588,1.195926547050476,43.30523347854614
36,1.0356937646865845,1.1857471466064453,43.25711107254028
37,1.0050386190414429,1.198112964630127,46.34508991241455
38,0.9949646592140198,1.2101705074310303,43.36397933959961
39,1.0115089416503906,1.2046068906784058,42.75035619735718
40,1.091945767402649,1.1846932172775269,43.20167279243469
41,1.1513687372207642,1.120180606842041,44.35204863548279
42,1.080506443977356,1.184348464012146,43.74229097366333
43,0.991349995136261,1.2180829048156738,44.02629232406616
44,0.9615575075149536,1.2152349948883057,43.69590950012207
45,0.9503428936004639,1.2147765159606934,42.85972762107849
46,0.9643179178237915,1.2276558876037598,43.663222312927246
47,1.1146390438079834,1.1760460138320923,43.29958701133728
48,1.1661076545715332,1.1023310422897339,43.43439984321594
49,1.0459829568862915,1.1937719583511353,42.46616554260254
50,0.967754065990448,1.2247874736785889,44.07752060890198
